11:47:10:222|	Широта: 53.20853671	Долгота:50.25967772
11:47:10:363|	Широта: 53.20853712	Долгота:50.25967855
11:47:11:202|	Широта: 53.20853712	Долгота:50.25967815
11:47:11:355|	Широта: 53.20853696	Долгота:50.25967737
11:47:12:180|	Широта: 53.20853696	Долгота:50.25967737
11:47:12:391|	Широта: 53.20853712	Долгота:50.25967596
11:47:13:164|	Широта: 53.20853678	Долгота:50.25967556
11:47:13:413|	Широта: 53.20853728	Долгота:50.25967607
11:47:14:143|	Широта: 53.20853728	Долгота:50.25967607
11:47:14:436|	Широта: 53.20853756	Долгота:50.25967759
11:47:15:122|	Широта: 53.20853712	Долгота:50.25967729
11:47:15:464|	Широта: 53.20853707	Долгота:50.25967958
11:47:16:099|	Широта: 53.20853707	Долгота:50.25967958
11:47:16:479|	Широта: 53.20853681	Долгота:50.25968108
11:47:17:081|	Широта: 53.20853638	Долгота:50.25968078
11:47:17:499|	Широта: 53.20853672	Долгота:50.25968164
11:47:18:059|	Широта: 53.20853672	Долгота:50.25968164
11:47:18:552|	Широта: 53.20853642	Долгота:50.25968134
11:47:19:039|	Широта: 53.20853629	Долгота:50.25968131
11:47:19:543|	Широта: 53.20853583	Долгота:50.25968131
11:47:20:769|	Широта: 53.20853472	Долгота:50.25968246
11:47:21:772|	Широта: 53.20853182	Долгота:50.2596801
11:47:22:765|	Широта: 53.20883084	Долгота:50.25958849
11:47:23:764|	Широта: 53.20851833	Долгота:50.25967611
11:47:24:764|	Широта: 53.20851388	Долгота:50.2596708
11:47:25:413|	Широта: 53.20851388	Долгота:50.25967037
11:47:25:902|	Широта: 53.20851356	Долгота:50.25967049
11:47:26:692|	Широта: 53.20850916	Долгота:50.25965748
11:47:27:769|	Широта: 53.2085079	Долгота:50.25965848
11:47:28:772|	Широта: 53.20850857	Долгота:50.25965581
11:47:29:773|	Широта: 53.20850799	Долгота:50.25965412
11:47:30:772|	Широта: 53.20850583	Долгота:50.25965202
11:47:31:293|	Широта: 53.20850539	Долгота:50.25965202
11:47:31:313|	Широта: 53.20850712	Долгота:50.25965082
11:47:32:274|	Широта: 53.20850681	Долгота:50.25965082
11:47:32:336|	Широта: 53.20850722	Долгота:50.25965211
11:47:33:253|	Широта: 53.20850722	Долгота:50.2596517
11:47:33:349|	Широта: 53.20850743	Долгота:50.25965175
11:47:34:232|	Широта: 53.20850712	Долгота:50.25965137
11:47:34:361|	Широта: 53.20850649	Долгота:50.25965232
11:47:35:214|	Широта: 53.20850613	Долгота:50.25965189
11:47:35:389|	Широта: 53.20850555	Долгота:50.25965373
11:47:36:192|	Широта: 53.20850518	Долгота:50.25965373
11:47:36:413|	Широта: 53.20850623	Долгота:50.25965462
11:47:37:173|	Широта: 53.2085059	Долгота:50.25965428
11:47:37:437|	Широта: 53.20850535	Долгота:50.25965656
11:47:38:155|	Широта: 53.20850535	Долгота:50.25965622
11:47:38:457|	Широта: 53.20852376	Долгота:50.25965497
11:47:39:134|	Широта: 53.20852376	Долгота:50.25965497
11:47:39:476|	Широта: 53.20852182	Долгота:50.25965054
11:47:40:114|	Широта: 53.20852147	Долгота:50.25965054
11:47:40:503|	Широта: 53.20853317	Долгота:50.25964078
11:47:41:093|	Широта: 53.20853317	Долгота:50.25964078
11:47:41:583|	Широта: 53.20853317	Долгота:50.25964042
11:47:42:073|	Широта: 53.20853286	Долгота:50.25964078
11:47:42:563|	Широта: 53.20853317	Долгота:50.25964078
11:47:43:052|	Широта: 53.20853276	Долгота:50.25964042
11:47:43:542|	Широта: 53.20853317	Долгота:50.25964045
11:47:44:032|	Широта: 53.20853317	Долгота:50.25964078
11:47:44:523|	Широта: 53.20853281	Долгота:50.25964046
11:47:45:014|	Широта: 53.20853317	Долгота:50.25964037
11:47:45:503|	Широта: 53.20853317	Долгота:50.25964078
11:47:45:993|	Широта: 53.20853281	Долгота:50.25964035
11:47:46:483|	Широта: 53.20853273	Долгота:50.25964078
11:47:46:973|	Широта: 53.20853276	Долгота:50.25964078
11:47:47:462|	Широта: 53.20853275	Долгота:50.25964078
11:47:47:953|	Широта: 53.20853317	Долгота:50.25964036
11:47:48:442|	Широта: 53.20853317	Долгота:50.25964078
11:47:48:933|	Широта: 53.20853278	Долгота:50.25964078
11:47:49:422|	Широта: 53.20853317	Долгота:50.25964078
11:47:49:912|	Широта: 53.20853317	Долгота:50.25964078
11:47:50:400|	Широта: 53.20853317	Долгота:50.25964034
11:47:50:893|	Широта: 53.20853317	Долгота:50.25964045
11:47:51:381|	Широта: 53.20853317	Долгота:50.25964078
11:47:51:872|	Широта: 53.20853317	Долгота:50.25964078
11:47:52:363|	Широта: 53.20853317	Долгота:50.25964078
11:47:52:852|	Широта: 53.20853317	Долгота:50.25964078
11:47:53:341|	Широта: 53.20853317	Долгота:50.25964078
11:47:53:833|	Широта: 53.20853278	Долгота:50.25964078
11:47:54:321|	Широта: 53.20853274	Долгота:50.25964078
11:47:54:813|	Широта: 53.20853317	Долгота:50.25964078
11:47:55:301|	Широта: 53.20853317	Долгота:50.25964078
11:47:55:794|	Широта: 53.20853317	Долгота:50.25964047
11:47:56:284|	Широта: 53.20853317	Долгота:50.25964037
11:47:56:772|	Широта: 53.20853317	Долгота:50.25964034
11:47:57:260|	Широта: 53.20853279	Долгота:50.25964047
11:47:57:752|	Широта: 53.20853317	Долгота:50.25964043
11:47:58:243|	Широта: 53.20853276	Долгота:50.25964078
11:47:58:733|	Широта: 53.20853282	Долгота:50.25964078
11:47:59:221|	Широта: 53.20853317	Долгота:50.25964045
11:47:59:713|	Широта: 53.20853317	Долгота:50.25964046
11:48:00:202|	Широта: 53.20853286	Долгота:50.25964078
11:48:00:693|	Широта: 53.20853279	Долгота:50.25964078
11:48:01:184|	Широта: 53.20853317	Долгота:50.2596404
11:48:01:671|	Широта: 53.2085328	Долгота:50.25964078
11:48:02:162|	Широта: 53.20853282	Долгота:50.25964078
11:48:02:653|	Широта: 53.20853282	Долгота:50.25964048
11:48:03:141|	Широта: 53.20853279	Долгота:50.25964078
11:48:03:633|	Широта: 53.20853317	Долгота:50.25964078
11:48:04:124|	Широта: 53.20853278	Долгота:50.25964037
11:48:04:614|	Широта: 53.20853317	Долгота:50.25964078
11:48:05:103|	Широта: 53.20853317	Долгота:50.25964078
11:48:05:592|	Широта: 53.20853275	Долгота:50.25964046
11:48:06:083|	Широта: 53.20853317	Долгота:50.25964034
11:48:06:573|	Широта: 53.20853285	Долгота:50.25964078
11:48:07:062|	Широта: 53.20853286	Долгота:50.25964078
11:48:07:553|	Широта: 53.20853317	Долгота:50.25964036
11:48:08:042|	Широта: 53.20853283	Долгота:50.25964037
11:48:08:533|	Широта: 53.20853276	Долгота:50.25964078
11:48:09:022|	Широта: 53.20853284	Долгота:50.25964078
11:48:09:513|	Широта: 53.20853317	Долгота:50.25964042
11:48:10:002|	Широта: 53.20853317	Долгота:50.25964078
11:48:10:494|	Широта: 53.20853317	Долгота:50.25964034
11:48:10:984|	Широта: 53.20853279	Долгота:50.25964078
11:48:11:473|	Широта: 53.20853279	Долгота:50.25964039
11:48:11:962|	Широта: 53.20853278	Долгота:50.25964042
11:48:12:453|	Широта: 53.20853281	Долгота:50.25964078
11:48:12:943|	Широта: 53.20853283	Долгота:50.25964044
11:48:13:434|	Широта: 53.20853274	Долгота:50.25964078
11:48:13:924|	Широта: 53.20853287	Долгота:50.25964044
11:48:14:412|	Широта: 53.20853281	Долгота:50.25964035
11:48:14:902|	Широта: 53.20853284	Долгота:50.2596404
11:48:15:393|	Широта: 53.20853317	Долгота:50.25964043
11:48:15:880|	Широта: 53.20853317	Долгота:50.25964078
11:48:16:372|	Широта: 53.20853317	Долгота:50.25964078
11:48:16:861|	Широта: 53.20853286	Долгота:50.25964041
11:48:17:352|	Широта: 53.20853284	Долгота:50.25964046
11:48:17:841|	Широта: 53.20853317	Долгота:50.25964078
11:48:18:331|	Широта: 53.20853317	Долгота:50.25964044
11:48:18:820|	Широта: 53.20853317	Долгота:50.25964078
11:48:19:311|	Широта: 53.20853279	Долгота:50.25964045
11:48:19:800|	Широта: 53.20853283	Долгота:50.25964078
11:48:20:293|	Широта: 53.20853278	Долгота:50.2596404
11:48:20:782|	Широта: 53.20853284	Долгота:50.25964078
11:48:21:272|	Широта: 53.20853274	Долгота:50.25964042
11:48:21:761|	Широта: 53.20853317	Долгота:50.25964078
11:48:22:253|	Широта: 53.20853317	Долгота:50.25964046
11:48:22:743|	Широта: 53.20853317	Долгота:50.25964078
11:48:23:234|	Широта: 53.20853317	Долгота:50.25964046
11:48:23:722|	Широта: 53.20853317	Долгота:50.25964045
11:48:24:213|	Широта: 53.20853317	Долгота:50.25964078
11:48:24:703|	Широта: 53.20853273	Долгота:50.25964078
11:48:25:194|	Широта: 53.20853317	Долгота:50.25964036
11:48:25:684|	Широта: 53.20853283	Долгота:50.25964047
11:48:26:171|	Широта: 53.20853317	Долгота:50.25964078
11:48:26:661|	Широта: 53.20853287	Долгота:50.25964047
11:48:27:153|	Широта: 53.20853317	Долгота:50.25964078
11:48:27:642|	Широта: 53.20853317	Долгота:50.25964078
11:48:28:134|	Широта: 53.20853317	Долгота:50.25964043
11:48:28:623|	Широта: 53.20853277	Долгота:50.25964035
11:48:29:112|	Широта: 53.20853317	Долгота:50.25964078
11:48:29:602|	Широта: 53.20853274	Долгота:50.25964078
11:48:30:093|	Широта: 53.20853317	Долгота:50.25964078
11:48:30:582|	Широта: 53.20853317	Долгота:50.25964078
11:48:31:072|	Широта: 53.20853317	Долгота:50.25964036
11:48:31:561|	Широта: 53.20853282	Долгота:50.25964042
11:48:32:053|	Широта: 53.20853317	Долгота:50.25964041
11:48:32:541|	Широта: 53.20853317	Долгота:50.25964034
11:48:33:032|	Широта: 53.20853278	Долгота:50.25964047
11:48:33:523|	Широта: 53.2085328	Долгота:50.25964078
11:48:34:013|	Широта: 53.2085328	Долгота:50.25964078
11:48:34:504|	Широта: 53.20853317	Долгота:50.25964037
11:48:34:993|	Широта: 53.20853317	Долгота:50.25964044
11:48:35:483|	Широта: 53.20853317	Долгота:50.25964078
11:48:35:973|	Широта: 53.20853317	Долгота:50.25964047
11:48:36:463|	Широта: 53.20853277	Долгота:50.25964078
11:48:36:953|	Широта: 53.20853278	Долгота:50.25964078
11:48:37:444|	Широта: 53.20853286	Долгота:50.25964078
11:48:37:932|	Широта: 53.2085328	Долгота:50.25964044
11:48:38:421|	Широта: 53.20853317	Долгота:50.25964038
11:48:38:914|	Широта: 53.20853317	Долгота:50.25964035
11:48:39:403|	Широта: 53.20853317	Долгота:50.25964045
11:48:39:893|	Широта: 53.20853282	Долгота:50.25964037
11:48:40:383|	Широта: 53.20853282	Долгота:50.25964045
11:48:40:873|	Широта: 53.20853317	Долгота:50.25964036
11:48:41:363|	Широта: 53.20853283	Долгота:50.25964034
11:48:41:853|	Широта: 53.20853317	Долгота:50.25964078
11:48:42:342|	Широта: 53.20853317	Долгота:50.25964078
11:48:42:831|	Широта: 53.20853317	Долгота:50.25964078
11:48:43:320|	Широта: 53.20853287	Долгота:50.25964078
11:48:43:813|	Широта: 53.20853317	Долгота:50.25964078
11:48:44:300|	Широта: 53.20853317	Долгота:50.25964078
11:48:44:791|	Широта: 53.20853317	Долгота:50.25964047
11:48:45:280|	Широта: 53.20853317	Долгота:50.25964035
11:48:45:772|	Широта: 53.20853282	Долгота:50.25964048
11:48:46:262|	Широта: 53.20853317	Долгота:50.25964078
11:48:46:753|	Широта: 53.20853317	Долгота:50.25964078
11:48:47:242|	Широта: 53.20853284	Долгота:50.25964042
11:48:47:731|	Широта: 53.20853287	Долгота:50.25964042
11:48:48:221|	Широта: 53.20853281	Долгота:50.25964078
